Subj	Num	Term	Title	Period Code	Instructor	WC	Dist	Xlist	Lang Req	NR Eligible or CT/NC
MALS	700	Summer	Resp & Ethical Conduct of Res (On Campus)	OT	Jill Baron	N/A	N/A	N/A	N/A	N/A
MALS	700	Winter	Resp & Ethical Conduct of Res (On Campus)	OT	Jill Baron	N/A	N/A	N/A	N/A	N/A
MATH	1	Fall	Intro. to Calculus	9L	Alina Glaubitz	N/A	QDS	N/A	N/A	N/A
MATH	1	Fall	Intro. to Calculus	10	Jinman Park	N/A	QDS	N/A	N/A	N/A
MATH	1	Fall	Intro. to Calculus	12	Xie He	N/A	QDS	N/A	N/A	N/A
MATH	1	Fall	Intro. to Calculus	2	David Freeman	N/A	QDS	N/A	N/A	N/A
MATH	3	Fall	Calculus	9L	Nadia Lafreniere	N/A	QDS	N/A	N/A	N/A
MATH	3	Fall	Calculus	10	Bo Su Choi	N/A	QDS	N/A	N/A	N/A
MATH	3	Fall	Calculus	11	Justin Miller	N/A	QDS	N/A	N/A	N/A
MATH	3	Fall	Calculus	12	Benjamin Logsdon	N/A	QDS	N/A	N/A	N/A
MATH	3	Fall	Calculus	2	Zhao Song	N/A	QDS	N/A	N/A	N/A
MATH	3	Winter	Calculus	11	Brian Mintz	N/A	QDS	N/A	N/A	N/A
MATH	3	Winter	Calculus	12	Alice Schwarze	N/A	QDS	N/A	N/A	N/A
MATH	3	Winter	Calculus	2	Jack Petok	N/A	QDS	N/A	N/A	N/A
MATH	8	Spring	Calc Func One/Sev Variable	10	Jack Petok	N/A	QDS	N/A	N/A	NR Eligible
MATH	8	Spring	Calc Func One/Sev Variable	9L	Zhen Chen	N/A	QDS	N/A	N/A	NR Eligible
MATH	8	Fall	Calc Func One/Sev Variable	10	Zhen Chen	N/A	QDS	N/A	N/A	NR Eligible
MATH	8	Fall	Calc Func One/Sev Variable	11	Matthew Ellison	N/A	QDS	N/A	N/A	NR Eligible
MATH	8	Fall	Calc Func One/Sev Variable	12	Melanie Ferreri	N/A	QDS	N/A	N/A	NR Eligible
MATH	8	Winter	Calc Func One/Sev Variable	9L	Tsvetelina Petkova	N/A	QDS	N/A	N/A	NR Eligible
MATH	8	Winter	Calc Func One/Sev Variable	10	Bohan Zhou	N/A	QDS	N/A	N/A	NR Eligible
MATH	8	Winter	Calc Func One/Sev Variable	11	Travis Russell	N/A	QDS	N/A	N/A	NR Eligible
MATH	9	Fall	Multivar Calc with Lin Alg	9L	Jack Petok	N/A	QDS	N/A	N/A	N/A
MATH	9	Fall	Multivar Calc with Lin Alg	2	Benjamin Adenbaum	N/A	QDS	N/A	N/A	N/A
MATH	10	Spring	Introductory Statistics	10A	Johannes van Erp	N/A	QDS	N/A	N/A	NR Eligible
MATH	10	Spring	Introductory Statistics	10	Bo Su Choi	N/A	QDS	N/A	N/A	NR Eligible
MATH	10	Spring	Introductory Statistics	3B	Bohan Zhou	N/A	QDS	N/A	N/A	NR Eligible
MATH	11	Fall	Accelerated Multivar Calc	10	Vladimir Chernov	N/A	QDS	N/A	N/A	N/A
MATH	11	Fall	Accelerated Multivar Calc	11	Jack Petok	N/A	QDS	N/A	N/A	N/A
MATH	11	Fall	Accelerated Multivar Calc	12	Michael Montgomery	N/A	QDS	N/A	N/A	N/A
MATH	11	Fall	Accelerated Multivar Calc	2	Kai Fan	N/A	QDS	N/A	N/A	N/A
MATH	13	Spring	Calc of Vector-Valued Fctns	11	Zili Wang	N/A	QDS	N/A	N/A	NR Eligible
MATH	13	Spring	Calc of Vector-Valued Fctns	12	Chuen Ming Mike Wong	N/A	QDS	N/A	N/A	NR Eligible
MATH	13	Spring	Calc of Vector-Valued Fctns	2	Chuen Ming Mike Wong	N/A	QDS	N/A	N/A	NR Eligible
MATH	13	Fall	Calc of Vector-Valued Fctns	10	Longmei Shu	N/A	QDS	N/A	N/A	NR Eligible
MATH	13	Winter	Calc of Vector-Valued Fctns	10	Dana Williams	N/A	QDS	N/A	N/A	NR Eligible
MATH	13	Winter	Calc of Vector-Valued Fctns	11	Richard Haburcak	N/A	QDS	N/A	N/A	NR Eligible
MATH	13	Winter	Calc of Vector-Valued Fctns	12	Ryan Vaughn	N/A	QDS	N/A	N/A	NR Eligible
MATH	17	Winter	Intro: Math Beyond Calculus	10A	Juanita Duque Rosero	N/A	QDS	N/A	N/A	NR Eligible
MATH	19	Spring	Intro Set Theory	12	Marcia Groszek	N/A	QDS	N/A	N/A	NR Eligible
MATH	20	Spring	Probability	11	Samuel Tripp	N/A	QDS	N/A	N/A	NR Eligible
MATH	20	Summer	Probability	2	Yixin Lin	N/A	QDS	N/A	N/A	NR Eligible
MATH	20	Fall	Probability	3B	Jan Glaubitz	N/A	QDS	N/A	N/A	NR Eligible
MATH	22	Spring	Linear Algebra w/Applicatns	10	Rosa Orellana	N/A	QDS	N/A	N/A	NR Eligible
MATH	22	Spring	Linear Algebra w/Applicatns	11	Daniel Rockmore	N/A	QDS	N/A	N/A	NR Eligible
MATH	22	Spring	Linear Algebra w/Applicatns	12	Rosa Orellana	N/A	QDS	N/A	N/A	NR Eligible
MATH	22	Summer	Linear Algebra w/Applicatns	12	Mikhail Temkin	N/A	QDS	N/A	N/A	NR Eligible
MATH	22	Fall	Linear Algebra w/Applicatns	9L	Sarah Frei	N/A	QDS	N/A	N/A	NR Eligible
