Subj	Num	Term	Title	Period Code	Instructor	WC	Dist	Xlist	Lang Req	NR Eligible or CT/NC
CHIN	1	Fall	1st Year Courses in Chinese	8S	Lei Yan	N/A	N/A	N/A	N/A	N/A
CHIN	1	Fall	1st Year Courses in Chinese	9S	Lei Yan	N/A	N/A	N/A	N/A	N/A
CHIN	2	Winter	First Yr Courses in Chinese	9S	Alan Li	N/A	N/A	N/A	N/A	N/A
CHIN	2	Winter	First Yr Courses in Chinese	10	Lei Yan	N/A	N/A	N/A	N/A	N/A
CHIN	3	Spring	First Yr Courses in Chinese	8S	Alan Li	N/A	N/A	N/A	N/A	N/A
CHIN	3	Spring	First Yr Courses in Chinese	9S	Alan Li	N/A	N/A	N/A	N/A	N/A
CHIN	4	Fall	Advanced Beginning Chinese	11	Alan Li	N/A	N/A	N/A	LACC	NR Eligible
CHIN	4	Fall	Advanced Beginning Chinese	12	Alan Li	N/A	N/A	N/A	LACC	NR Eligible
CHIN	4	Fall	Advanced Beginning Chinese	11	Shucheng Zhang	N/A	N/A	N/A	LACC	NR Eligible
CHIN	22	Fall	Intermediate Modern Chinese	9S	Shucheng Zhang	NW	LIT	N/A	LADV	N/A
CHIN	22	Winter	Intermediate Modern Chinese	9S	Lei Yan	NW	LIT	N/A	LADV	N/A
CHIN	22	Winter	Intermediate Modern Chinese	9S	Shucheng Zhang	NW	LIT	N/A	LADV	N/A
CHIN	23	Spring	Intermediate Modern Chinese	9S	Lei Yan	NW	LIT	N/A	N/A	N/A
CHIN	31	Fall	Adv. Chinese (3rd Yr Level)	10	Yuhui Lyu	NW	LIT	N/A	LADV	N/A
CHIN	31	Fall	Adv. Chinese (3rd Yr Level)	12	Yuhui Lyu	NW	LIT	N/A	LADV	N/A
CHIN	32	Winter	Adv. Chinese (3rd Yr Level)	10	Yuhui Lyu	NW	LIT	N/A	LADV	N/A
CHIN	33	Spring	Adv Chinese (3rd Yr Level)	10	Shucheng Zhang	NW	LIT	N/A	N/A	N/A
CHIN	40.03	Winter	Modrn Chinese Short Stories	10	Shucheng Zhang	NW	LIT	N/A	LADV	N/A
CHIN	40.04	Spring	AdvCHIN for Commerce & Econ	10	Lei Yan	N/A	N/A	N/A	N/A	N/A
CHIN	41	Summer	Adv. Chinese (4th Yr Level)	11	Yuhui Lyu	NW	LIT	N/A	N/A	NR Eligible
CHIN	49	Spring	Ind Adv Study in Chinese	ARR	Allen Hockley	NW	LIT	N/A	N/A	N/A
CHIN	49	Summer	Ind Adv Study in Chinese	ARR	Allen Hockley	NW	LIT	N/A	N/A	N/A
CHIN	49	Fall	Ind Adv Study in Chinese	ARR	Allen Hockley	NW	LIT	N/A	N/A	N/A
CHIN	49	Winter	Ind Adv Study in Chinese	ARR	Allen Hockley	NW	LIT	N/A	N/A	N/A
CLST	1.03	Winter	Antiquity Today	11	Paul Christesen	CI	INT or LIT	N/A	N/A	N/A
CLST	3	Spring	Aristotle to Epictetus	11	Margaret Graver	W	TMV	N/A	N/A	NR Eligible
CLST	4	Summer	Classical Mythology	9L	Roger Ulrich	CI	TMV	N/A	N/A	NR Eligible
CLST	5	Fall	Epics of Greece and Rome	11	Florencia Foxley	W	LIT	N/A	N/A	NR Eligible
CLST	6	Winter	Intro Classical Archaeology	2	Julie Hruby	W	INT or ART	N/A	N/A	N/A
CLST	10.03	Fall	Mind, Heart, Brain	2	Margaret Graver	W	TMV	N/A	N/A	N/A
CLST	10.12	Spring	The End of the World	2	Lindsay Whaley	W	TMV	N/A	N/A	N/A
CLST	10.14	Winter	Plato's Symposium	10	Margaret Graver	W	TMV	N/A	N/A	N/A
CLST	11.06	Winter	Sex,Celibacy&Prob of Purity	11	Christopher MacEvitt	W	TMV	REL 031 01, WGSS 43.02 01	N/A	N/A
CLST	11.13	Spring	Democracy: ANCT to MDRN	10	Peter Martin	W	INT or SOC	N/A	N/A	N/A
CLST	12.02	Summer	Greek & Roman Engg. & Tech.	11	Roger Ulrich	W	TAS	N/A	N/A	N/A
CLST	14	Spring	Greek Hist:Archaic&Classica	12	Peter Martin	W	SOC	N/A	N/A	N/A
CLST	15	Winter	Alexander &Macedonian Kings	2	Paul Christesen	W	INT or SOC	HIST 94.04 01	N/A	NR Eligible
CLST	18	Fall	History of the Roman Empire	10	Roberta Stewart	W	INT or SOC	HIST 94.06 01	N/A	NR Eligible
CLST	19	Winter	Methods&Theory Ancient Hist	12	Roberta Stewart	W	SOC	HIST 94.07 01	N/A	NR Eligible
CLST	30.01	Spring	Classic Art&Archaeology I	FS	Roger Ulrich, Julie Hruby	W	ART	N/A	N/A	N/A
CLST	30.02	Spring	Classic Art&Archaeology II	FS	Roger Ulrich, Julie Hruby	W	ART	N/A	N/A	N/A
CLST	31	Spring	Ancient Literature&History	FS	Roger Ulrich, Julie Hruby	W	N/A	N/A	N/A	N/A
CLST	85	Spring	Independ Reading & Research	ARR	Margaret Graver	N/A	N/A	N/A	N/A	N/A
CLST	85	Fall	Independ Reading & Research	ARR	Margaret Graver	N/A	N/A	N/A	N/A	N/A
CLST	85	Winter	Independ Reading & Research	ARR	Margaret Graver	N/A	N/A	N/A	N/A	N/A
CLST	87	Fall	Thesis I	ARR	Margaret Graver	N/A	N/A	N/A	N/A	N/A
CLST	88	Spring	Thesis II	ARR	Margaret Graver	N/A	N/A	N/A	N/A	N/A
CLST	88	Winter	Thesis II	ARR	Margaret Graver	N/A	N/A	N/A	N/A	N/A
COCO	21	Spring	What's in Your Shoebox?	10A	Francine A'Ness, Mokhtar Bouba	CI	SOC	N/A	N/A	N/A
COCO	23	Spring	Language-Music Connection	10A	Laura McPherson, Theodore Levin	NW	INT or ART	LING 11.13 01, MUS 17.06 01	N/A	N/A
COCO	26	Fall	What's in Your Toolbox?	10A	Mokhtar Bouba, Heidi Denzel	CI	SOC	N/A	N/A	N/A
COCO	28	Fall	History of Attention	2A	Mikhail Gronas, Peter Tse	N/A	TMV	RUSS 38.12 01	N/A	N/A
COCO	31	Summer	Mind, Language, Morality	6B	Jonathan Phillips, David Plunkett	N/A	TMV	COGS 11.03 01, PHIL 50.35 01	N/A	NR Eligible
COCO	33	Spring	Homelands & Diasporas	10A	Sergei Kan	CI	INT or SOC	ANTH 50.41 01, JWST 05.01 01, RUSS 38.15 01	N/A	N/A
COCO	34	Winter	Psychoanalysis & Philosophy	2A	Aden Evens, Sarah Ackerman	W	TMV	ENGL 54.17 01	N/A	N/A
COCO	35	Winter	Color in Art & Philosophy	2A	John Kulvicki, Viktor Witkowski	N/A	N/A	N/A	N/A	N/A
COCO	36	Winter	Alaska:American Dreams	10A	Sergei Kan	CI	SOC	N/A	N/A	N/A
COCO	38	Spring	Transforming Energy System	2A	Elizabeth Wilson, Meredith Kelly	N/A	TLA	N/A	N/A	N/A
COGS	1	Spring	Intro to Cognitive Science	10	Jonathan Phillips, Adina Roskies	N/A	SOC	N/A	N/A	N/A
COGS	2	Spring	Cognitive Psychology	2	Viola Stoermer	N/A	SOC	PSYC 028 01	N/A	N/A
COGS	11.03	Summer	Mind, Language, Morality	6B	Jonathan Phillips, David Plunkett	N/A	TMV	COCO 031 01, PHIL 50.35 01	N/A	NR Eligible
COGS	21	Fall	Intro Computationl Neurosci	2A	Richard Granger	N/A	SCI	COSC 016 01, PSYC 040 01	N/A	NR Eligible
COGS	25	Winter	PHIL of Cognitive Science	12		N/A	TAS	PHIL 025 01	N/A	NR Eligible
COGS	32	Winter	STEM and Education	10A	David Kraemer	N/A	SOC	EDUC 046 01	N/A	N/A
COGS	50.05	Fall	Psycholinguistics	12	Samantha Wray	N/A	SCI	LING 025 01, PSYC 51.13 01	N/A	NR Eligible
COGS	50.08	Winter	Modeling Mind and Behavior	6B	Ashley Walton	N/A	TAS	N/A	N/A	N/A
COGS	80	Spring	Cog Science Major Seminar	11	Marie-Christine Nizzi	N/A	N/A	N/A	N/A	N/A
COGS	80	Fall	Cog Science Major Seminar	11	Samantha Wray	N/A	N/A	N/A	N/A	N/A
COGS	81	Spring	Cog Sci Major Seminar II	11	Marie-Christine Nizzi	N/A	SOC	N/A	N/A	N/A
COGS	81	Fall	Cog Sci Major Seminar II	11	Samantha Wray	N/A	SOC	N/A	N/A	N/A
COGS	85	Spring	Independent Study&Research	ARR	Adina Roskies	N/A	N/A	N/A	N/A	N/A
COGS	85	Fall	Independent Study&Research	ARR	David Kraemer	N/A	N/A	N/A	N/A	N/A
COGS	85	Winter	Independent Study&Research	ARR	David Kraemer	N/A	N/A	N/A	N/A	N/A
COGS	86	Spring	Honors Research	ARR	Adina Roskies	N/A	N/A	N/A	N/A	N/A
COGS	86	Winter	Honors Research	ARR	David Kraemer	N/A	N/A	N/A	N/A	N/A
COGS	87	Spring	Honors Thesis	ARR	Adina Roskies	N/A	N/A	N/A	N/A	N/A
COGS	87	Fall	Honors Thesis	ARR	David Kraemer	N/A	N/A	N/A	N/A	N/A
COGS	87	Winter	Honors Thesis	ARR	David Kraemer	N/A	N/A	N/A	N/A	N/A
COLT	1	Fall	Read the World	2	Michelle Warren	CI	INT or LIT	N/A	N/A	NR Eligible
COLT	7.09	Spring	Litofthe Colonial Encounter	10A	Ayo Coly	N/A	N/A	N/A	N/A	N/A
COLT	7.18	Winter	Cyborgs and the Posthuman	11	Emily Kane	N/A	N/A	N/A	N/A	N/A
COLT	10.24	Spring	Family Matters	3A	Annabel Martin	W	LIT	N/A	N/A	N/A
COLT	10.25	Winter	Story and Storytellers	2A	Lynn Higgins	W	LIT	N/A	N/A	N/A
COLT	10.26	Fall	Autobiography and Memory	2	Veronika Fuechtner	W	INT or LIT	N/A	N/A	N/A
COLT	18.03	Winter	Modern Media Theory	2A	Petra McGillen	W	ART	GERM 42.04 01	N/A	NR Eligible
COLT	19.01	Winter	Translation:Theory&Practice	11	Nancy Canepa	W	N/A	N/A	LRP	NR Eligible
COLT	19.03	Fall	Translation and Censorship	10A	Lada Kolomiyets	W	SOC	RUSS 38.21 01	LRP	N/A
COLT	19.04	Winter	Language Ideologies	10A	Lada Kolomiyets	W	SOC	RUSS 38.22 01	LRP	N/A
COLT	22.02	Winter	Renaissances	2	Michael Wyatt	W	INT or LIT	N/A	N/A	N/A
COLT	31.03	Fall	Poetry After War	6B	Ainsley Morse, Anna Glazova	W	INT or TMV	RUSS 38.20 01	N/A	N/A
COLT	40.01	Winter	History of the Book	2A	Jessica Beckman	W	LIT	ENGL 54.15 01	N/A	NR Eligible
COLT	45	Fall	The Quest for Utopia	10	Beatriz Pastor	W	INT	N/A	N/A	NR Eligible
COLT	49.05	Fall	Decdnce,Degnrtn&FindeSiecle	10A	Andrew McCann	N/A	LIT	ENGL 72.02 01	N/A	N/A
COLT	49.06	Spring	Multilingualism& its Others	6B	Yuliya Komska	N/A	SOC	INTS 17.09 01	N/A	N/A
COLT	49.07	Spring	Living in the City	12	David Laguardia	W	LIT	N/A	N/A	N/A
COLT	49.09	Winter	Graphic Medicine	11	Michael Chaney	W	LIT	ENGL 53.49 01	N/A	N/A
COLT	52.02	Fall	New Latin American Cinema	9L	Thamyris Almeida	N/A	INT	FILM 42.03 01, INTS 17.12 01, LACS 30.06 01	N/A	NR Eligible
COLT	52.08	Summer	Lit and Cult of Americas	2A	Patricia Stuelke	W	INT or LIT	ENGL 53.32 01, LACS 41.20 01	N/A	N/A
COLT	53.01	Spring	Mod Arab Lit:Narrate Tradit	2	Hussein Kadhim	NW	LIT	MES 16.35 01	N/A	NR Eligible
COLT	53.05	Spring	Mediterranean Poetics	10	Michael Wyatt	W	LIT	MES 16.40 01	N/A	N/A
COLT	57.1	Summer	SocialRevolutionsJapan&US	10A	James Dorsey	CI	INT or LIT	ASCL 70.18 01	N/A	NR Eligible
COLT	57.12	Spring	Mafias	10	Nancy Canepa	W	INT or SOC	ITAL 37.10 01	N/A	N/A
COLT	63.02	Spring	Modern Conspiracy	2	Lynn Patyk	W	INT or TMV	RUSS 38.10 01	N/A	NR Eligible
COLT	63.03	Spring	Mobs Crowds and the People	3A	Klaus Mladek, Antonio Gomez	W	TMV	GERM 46.04 01, HUM 03.07 01	N/A	N/A
COLT	70.03	Fall	Eur Jewish Intellectuals	2A	Lawrence Kritzman	W	TMV	INTS 17.14 01, JWST 026 01	N/A	NR Eligible
COLT	70.05	Spring	Environmental Imagination	10	Damiano Benvegnu	W	LIT	N/A	N/A	NR Eligible
COLT	70.06	Spring	Computational CompLit	10A	Laura Chapot	N/A	INT or LIT	QSS 30.22 01	N/A	N/A
COLT	70.07	Winter	Env Crises & Human Rights	12	Sandra Mefoude Obiono	N/A	N/A	N/A	N/A	N/A
COLT	72.01	Fall	Global Literary Theory	12	David Laguardia	CI	LIT	N/A	N/A	NR Eligible
COLT	79	Summer	Independent Study	ARR	Graziella Parati	N/A	N/A	N/A	N/A	N/A
COLT	85	Winter	Senior Seminar	ARR	Yuliya Komska	N/A	N/A	N/A	N/A	N/A
COLT	87	Spring	Tutorial Thesis	ARR	Lawrence Kritzman	N/A	N/A	N/A	N/A	N/A
COLT	100	Fall	Contemp Lit Criticism & Theory	3A	Klaus Mladek	N/A	N/A	N/A	N/A	N/A
COLT	101	Winter	Topics in Comparative Lit.	10A	Eman Morsi	N/A	N/A	N/A	N/A	N/A
COLT	102	Fall	Tutorial	OT	James Dorsey	N/A	N/A	N/A	N/A	N/A
COLT	103	Spring	Workshop in Critical Writing (On Campus)	3A	Gerd Gemunden	N/A	N/A	N/A	N/A	N/A
COLT	103	Winter	Graduate Seminar	ARR	James Dorsey	N/A	N/A	N/A	N/A	N/A
COLT	700	Fall	Resp & Ethical Conduct of Res	OT	Jill Baron	N/A	N/A	N/A	N/A	N/A
COSC	1	Spring	Intro Programming&Computatn	12	Andrew Campbell	N/A	TLA	N/A	N/A	NR Eligible
COSC	1	Spring	Intro Programming&Computatn	10	Devin Balkcom	N/A	TLA	N/A	N/A	NR Eligible
COSC	1	Spring	Intro Programming&Computatn	12	Vasanta Lakshmi Kommineni	N/A	TLA	N/A	N/A	NR Eligible
COSC	1	Fall	Intro Programming&Computatn	11	Vasanta Lakshmi Kommineni	N/A	TLA	N/A	N/A	NR Eligible
COSC	1	Fall	Intro Programming&Computatn	12	Vasanta Lakshmi Kommineni	N/A	TLA	N/A	N/A	NR Eligible
COSC	1	Winter	Intro Programming&Computatn	11	Vasanta Lakshmi Kommineni	N/A	TLA	N/A	N/A	NR Eligible
COSC	1	Winter	Intro Programming&Computatn	12	Vasanta Lakshmi Kommineni	N/A	TLA	N/A	N/A	NR Eligible
COSC	2	Spring	Program Interactive AV Art	2	Michael Casey	N/A	TLA	MUS 008 01	N/A	NR Eligible
COSC	10	Spring	ProbSolving:Object-Oriented	12	Alberto Quattrini Li	N/A	TLA	N/A	N/A	NR Eligible
COSC	10	Fall	ProbSolving:Object-Oriented	2	Timothy Pierson	N/A	TLA	N/A	N/A	NR Eligible
COSC	10	Fall	ProbSolving:Object-Oriented	12	Alberto Quattrini Li	N/A	TLA	N/A	N/A	NR Eligible
COSC	10	Winter	ProbSolving:Object-Oriented	12	Timothy Pierson	N/A	TLA	N/A	N/A	NR Eligible
COSC	10	Winter	ProbSolving:Object-Oriented	2	Timothy Pierson	N/A	TLA	N/A	N/A	NR Eligible
COSC	16	Fall	Intro Computationl Neurosci	2A	Richard Granger	N/A	SCI	COGS 021 01, PSYC 040 01	N/A	NR Eligible
COSC	22	Spring	3-D Digital Modeling	3B	Lorie Loeb	N/A	TLA	N/A	N/A	N/A
COSC	22	Fall	3-D Digital Modeling	3A	Lorie Loeb	N/A	TLA	N/A	N/A	N/A
COSC	22	Winter	3-D Digital Modeling	3A	Lorie Loeb	N/A	TLA	N/A	N/A	N/A
COSC	23.01	Fall	AR and VR Design	2A	James Mahoney	N/A	TAS	N/A	N/A	N/A
COSC	23.01	Winter	AR and VR Design	2A	James Mahoney	N/A	TAS	N/A	N/A	N/A
COSC	24	Summer	Computer Animation	3A	Patricia Hannaway	N/A	ART	N/A	N/A	N/A
COSC	24	Winter	Computer Animation	3B	Patricia Hannaway	N/A	ART	N/A	N/A	N/A
COSC	25.01	Spring	Intro to UI/UX Design I	3A	Lorie Loeb	N/A	ART	N/A	N/A	N/A
COSC	25.01	Summer	Intro to UI/UX Design I	2A	Natalie Svoboda	N/A	ART	N/A	N/A	N/A
COSC	25.02	Spring	Intro to UI/UX Design II	ARR	Lorie Loeb	N/A	ART	N/A	N/A	N/A
COSC	25.02	Summer	Intro to UI/UX Design II	ARR	Lorie Loeb	N/A	ART	N/A	N/A	N/A
COSC	25.02	Fall	Intro to UI/UX Design II	ARR	Lorie Loeb	N/A	ART	N/A	N/A	N/A
COSC	25.02	Winter	Intro to UI/UX Design II	ARR	Lorie Loeb	N/A	ART	N/A	N/A	N/A
COSC	27	Spring	Projects in Digital Arts	2A	James Mahoney	N/A	ART	N/A	N/A	N/A
COSC	28	Spring	Adv Projects in Digital Art	ARR	Lorie Loeb	N/A	N/A	N/A	N/A	N/A
COSC	28	Summer	Adv Projects in Digital Art	ARR	Lorie Loeb	N/A	N/A	N/A	N/A	N/A
COSC	28	Fall	Adv Projects in Digital Art	ARR	Lorie Loeb	N/A	N/A	N/A	N/A	N/A
COSC	28	Winter	Adv Projects in Digital Art	ARR	Lorie Loeb	N/A	N/A	N/A	N/A	N/A
COSC	30	Spring	Discrete Math Computer Sci	2	Hsien-Chih Chang	N/A	QDS	ENGS 066 01	N/A	N/A
COSC	30	Summer	Discrete Math Computer Sci	10	Prantar Ghosh	N/A	QDS	ENGS 066 01	N/A	N/A
COSC	30	Fall	Discrete Math Computer Sci	11	Prasad Jayanti	N/A	QDS	ENGS 066 01	N/A	N/A
COSC	30	Fall	Discrete Math Computer Sci	12	Prasad Jayanti	N/A	QDS	ENGS 066 02	N/A	N/A
COSC	30	Winter	Discrete Math Computer Sci	10	Deeparnab Chakrabarty	N/A	QDS	ENGS 066 01	N/A	N/A
COSC	31	Spring	Algorithms	10	Deeparnab Chakrabarty	N/A	QDS	N/A	N/A	N/A
COSC	31	Fall	Algorithms	10	Deeparnab Chakrabarty	N/A	QDS	N/A	N/A	N/A
COSC	31	Winter	Algorithms	2	Hsien-Chih Chang	N/A	QDS	N/A	N/A	N/A
COSC	39	Winter	Theory of Computation	2A	Amit Chakrabarti	N/A	QDS	N/A	N/A	N/A
COSC	40	Spring	Computational Complexity	10A	Amit Chakrabarti	N/A	N/A	N/A	N/A	N/A
COSC	49.01	Spring	Topics:Algorithm&Complexity	10	Peter Winkler	N/A	QDS	N/A	N/A	N/A
COSC	49.08	Winter	Information Theory in CS	10A	Amit Chakrabarti	N/A	N/A	N/A	N/A	N/A
COSC	50	Spring	Software Design&Implement'n	12	Xia Zhou	N/A	TLA	ENGS 050 01	N/A	N/A
COSC	50	Fall	Software Design&Implement'n	11	Timothy Pierson	N/A	TLA	ENGS 050 01	N/A	N/A
COSC	50	Winter	Software Design&Implement'n	9L	Charles Palmer	N/A	TLA	ENGS 050 01	N/A	N/A
COSC	50	Winter	Software Design&Implement'n	10A	Stephen Taylor	N/A	TLA	ENGS 050 02	N/A	N/A
COSC	51	Spring	Computer Architecture	2	Sean Smith	N/A	TAS	N/A	N/A	N/A
COSC	52	Spring	Full-Stack Web Development	2	Tim Tregubov	N/A	TAS	N/A	N/A	N/A
COSC	56	Spring	Digital Electronics	12	Geoffrey Luke	N/A	TLA	ENGS 031 01	N/A	N/A
COSC	56	Summer	Digital Electronics	12	Benjamin Dobbins	N/A	TLA	ENGS 031 01	N/A	N/A
COSC	57	Spring	Compilers	12	John Brady	N/A	TAS	N/A	N/A	N/A
COSC	58	Fall	Operating Systems	12	Sean Smith	N/A	TAS	N/A	N/A	N/A
COSC	61	Fall	Database Systems	9L	Charles Palmer	N/A	TAS	N/A	N/A	N/A
COSC	62	Winter	Applied Cryptography	10	Sean Smith	N/A	TAS	N/A	N/A	N/A
COSC	63.01	Fall	AR and VR Development	2A	James Mahoney	N/A	TAS	N/A	N/A	N/A
COSC	63.01	Winter	AR and VR Development	2A	James Mahoney	N/A	TAS	N/A	N/A	N/A
COSC	69.13	Fall	Multirobot Systems	2	Alberto Quattrini Li	N/A	TAS	N/A	N/A	N/A
COSC	70	Spring	Foundations of Applied CS	10A	Bo Zhu	N/A	QDS	N/A	N/A	N/A
COSC	70	Fall	Foundations of Applied CS	10A	Bo Zhu	N/A	QDS	N/A	N/A	N/A
COSC	70	Winter	Foundations of Applied CS	2	Wojciech Jarosz	N/A	QDS	N/A	N/A	N/A
COSC	71	Winter	Numerical Mthds-Computation	12		N/A	QDS	ENGS 091 01	N/A	N/A
COSC	72	Spring	Accelerated Comp Linguistic	11	Rolando Coto Solano	N/A	TAS	LING 048 01	N/A	N/A
COSC	72	Spring	Accelerated Comp Linguistic	2	Rolando Coto Solano	N/A	TAS	LING 048 02	N/A	N/A
COSC	74	Spring	Machine Lrng&Stat Analysis	6A	Soroush Vosoughi	N/A	QDS	N/A	N/A	N/A
COSC	74	Spring	Machine Lrng&Stat Analysis	12	Sarah Masud Preum	N/A	QDS	N/A	N/A	N/A
COSC	74	Winter	Machine Lrng&Stat Analysis	3A	Souyoung Jin	N/A	QDS	N/A	N/A	N/A
COSC	74	Winter	Machine Lrng&Stat Analysis	3A	Soroush Vosoughi	N/A	QDS	N/A	N/A	N/A
COSC	76	Fall	Artificial Intelligence	3A	Soroush Vosoughi	N/A	TAS	N/A	N/A	N/A
COSC	77	Spring	Computer Graphics	10	Wojciech Jarosz	N/A	TAS	N/A	N/A	N/A
COSC	77	Winter	Computer Graphics	10A	Bo Zhu	N/A	TAS	N/A	N/A	N/A
COSC	78	Winter	Deep Learning	2A	Yaoqing Yang	N/A	TAS	N/A	N/A	N/A
COSC	83	Winter	Computer Vision	10	Adithya Pediredla	N/A	TAS	N/A	N/A	N/A
COSC	87	Fall	Rendering Algorithms	10	Wojciech Jarosz	N/A	TAS	N/A	N/A	N/A
COSC	89.11	Spring	Cognitive Comp. with Watson	9L	Charles Palmer	N/A	TAS	N/A	N/A	N/A
COSC	89.2	Spring	Data Science for Health	10A	Temiloluwa Prioleau	N/A	QDS	N/A	N/A	N/A
COSC	89.2	Fall	Data Science for Health	10A	Temiloluwa Prioleau	N/A	QDS	N/A	N/A	N/A
COSC	89.23	Winter	Network Science & Compl Sys	3A	Yujun Yan	N/A	TAS	N/A	N/A	N/A
COSC	89.28	Winter	Transforming Healthcare	10A	Sarah Masud Preum	N/A	N/A	N/A	N/A	N/A
COSC	94	Spring	Reading Course	ARR	Deeparnab Chakrabarty	N/A	N/A	N/A	N/A	N/A
COSC	94	Summer	Reading Course	ARR	Soroush Vosoughi	N/A	N/A	N/A	N/A	N/A
COSC	94	Fall	Reading Course	ARR	Deeparnab Chakrabarty	N/A	N/A	N/A	N/A	N/A
COSC	94	Winter	Reading Course	ARR	Deeparnab Chakrabarty	N/A	N/A	N/A	N/A	N/A
COSC	98.01	Fall	Sr Design&Impl Project I	3A	Tim Tregubov	N/A	N/A	N/A	N/A	N/A
COSC	98.01	Fall	Sr Design&Impl Project I	ARR	Natalie Svoboda	N/A	N/A	N/A	N/A	N/A
COSC	98.01	Winter	Sr Design&Impl Project I	2A	Tim Tregubov	N/A	N/A	N/A	N/A	N/A
COSC	98.01	Winter	Sr Design&Impl Project I	2A	Natalie Svoboda	N/A	N/A	N/A	N/A	N/A
COSC	98.02	Spring	Sr. Design&Impl Project II	3A	Sebastiaan Joze Joosten	N/A	N/A	N/A	N/A	N/A
COSC	98.02	Spring	Sr. Design&Impl Project II	ARR	Sebastiaan Joze Joosten	N/A	N/A	N/A	N/A	N/A
COSC	98.02	Winter	Sr. Design&Impl Project II	3A	Tim Tregubov	N/A	N/A	N/A	N/A	N/A
COSC	98.02	Winter	Sr. Design&Impl Project II	3A	Natalie Svoboda	N/A	N/A	N/A	N/A	N/A
COSC	99.01	Spring	Thesis Research I	ARR	Deeparnab Chakrabarty	N/A	N/A	N/A	N/A	N/A
COSC	99.01	Summer	Thesis Research I	ARR	Soroush Vosoughi	N/A	N/A	N/A	N/A	N/A
COSC	99.01	Fall	Thesis Research I	ARR	Deeparnab Chakrabarty	N/A	N/A	N/A	N/A	N/A
COSC	99.01	Winter	Thesis Research I	ARR	Deeparnab Chakrabarty	N/A	N/A	N/A	N/A	N/A
COSC	99.02	Spring	Thesis Research II	ARR	Deeparnab Chakrabarty	N/A	N/A	N/A	N/A	N/A
COSC	99.02	Summer	Thesis Research II	ARR	Soroush Vosoughi	N/A	N/A	N/A	N/A	N/A
COSC	99.02	Fall	Thesis Research II	ARR	Deeparnab Chakrabarty	N/A	N/A	N/A	N/A	N/A
COSC	99.02	Winter	Thesis Research II	ARR	Deeparnab Chakrabarty	N/A	N/A	N/A	N/A	N/A
COSC	122	Spring	3-D Digital Modeling	3B	Lorie Loeb	N/A	N/A	N/A	N/A	N/A
COSC	122	Fall	3-D Digital Modeling	3A	Lorie Loeb	N/A	N/A	N/A	N/A	N/A
COSC	122	Winter	3-D Digital Modeling	3A	Lorie Loeb	N/A	N/A	N/A	N/A	N/A
COSC	123	Fall	AR and VR Design	2A	James Mahoney	N/A	N/A	N/A	N/A	N/A
COSC	123	Winter	AR and VR Design	2A	James Mahoney	N/A	N/A	N/A	N/A	N/A
COSC	124	Summer	Computer Animation	3A	Patricia Hannaway	N/A	N/A	N/A	N/A	N/A
COSC	124	Winter	Computer Animation	3B	Patricia Hannaway	N/A	N/A	N/A	N/A	N/A
COSC	125	Spring	Intro to UI/UX Design I	3A	Lorie Loeb	N/A	N/A	N/A	N/A	N/A
COSC	125	Summer	Intro to UI/UX Design I	2A	Natalie Svoboda	N/A	N/A	N/A	N/A	N/A
COSC	127	Spring	Projects in Digital Arts	2A	James Mahoney	N/A	N/A	N/A	N/A	N/A
COSC	149.9	Spring	Topics-Probability Theory	10	Peter Winkler	N/A	N/A	N/A	N/A	N/A
COSC	162	Winter	Applied Cryptography	10	Sean Smith	N/A	N/A	N/A	N/A	N/A
COSC	183	Winter	Computer Vision	10	Adithya Pediredla	N/A	N/A	N/A	N/A	N/A
COSC	189	Spring	Topics in Applied Comp Sci	9L	Charles Palmer	N/A	N/A	N/A	N/A	N/A
COSC	189	Spring	Topics in Applied Comp Sci	10A	Temiloluwa Prioleau	N/A	N/A	N/A	N/A	N/A
COSC	189	Fall	Topics in Applied Comp Sci	10A	Temiloluwa Prioleau	N/A	N/A	N/A	N/A	N/A
COSC	189	Winter	Topics in Applied Comp Sci	10A	Sarah Masud Preum	N/A	N/A	N/A	N/A	N/A
COSC	189	Winter	Topics in Applied Comp Sci	3A	Yujun Yan	N/A	N/A	N/A	N/A	N/A
COSC	210	Spring	Computer Science Colloquium	11	Wojciech Jarosz	N/A	N/A	N/A	N/A	N/A
COSC	210	Summer	Computer Science Colloquium	ARR	Wojciech Jarosz	N/A	N/A	N/A	N/A	N/A
COSC	210	Fall	Computer Science Colloquium	11	Wojciech Jarosz	N/A	N/A	N/A	N/A	N/A
COSC	210	Winter	Computer Science Colloquium	11	Wojciech Jarosz	N/A	N/A	N/A	N/A	N/A
COSC	240	Spring	Computational Complexity	10A	Amit Chakrabarti	N/A	N/A	N/A	N/A	N/A
COSC	249	Fall	Topics in Algorithm&Complexity	2A	Hsien-Chih Chang	N/A	N/A	N/A	N/A	N/A
COSC	249	Winter	Topics in Algorithm&Complexity	10A	Amit Chakrabarti	N/A	N/A	N/A	N/A	N/A
COSC	257	Spring	Compilers	12	John Brady	N/A	N/A	N/A	N/A	N/A
COSC	258	Fall	Operating Systems	12	Sean Smith	N/A	N/A	N/A	N/A	N/A
COSC	269	Fall	Topics in Computer Systems	2	Alberto Quattrini Li	N/A	N/A	N/A	N/A	N/A
COSC	274	Spring	Machine Lrng&Stat Analysis	6A	Soroush Vosoughi	N/A	N/A	N/A	N/A	N/A
